Time_s,Temperature_C,Humidity_%,Pressure_hPa,AccelX_g,AccelY_g,AccelZ_g,GyroX_deg_s,GyroY_deg_s,GyroZ_deg_s
0.001,22.66,41.45,1006.02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.101,22.69,41.39,1006.01,0.8359,-0.0319,-0.6240,-19.4809,0.0458,13.1985
0.201,22.73,41.33,1005.99,0.8333,-0.0390,-0.6895,-2.0076,5.7939,-1.0229
0.301,22.76,41.28,1005.98,0.8420,-0.0730,-0.6858,-2.2519,0.7252,-0.3817
0.401,22.78,41.23,1005.98,0.8394,-0.0419,-0.6746,-1.8550,2.5267,-0.9313
0.501,22.79,41.19,1005.98,0.8364,-0.0478,-0.6802,-2.4122,0.6031,0.0381
0.601,22.80,41.14,1006.00,0.8271,-0.0402,-0.6914,-1.9008,1.2595,-0.7710
0.701,22.81,41.10,1006.00,0.8445,-0.0329,-0.6865,-3.5649,2.4733,2.4427
0.801,22.82,41.08,1005.99,0.8767,-0.0483,-0.7336,-8.9084,0.9618,1.4656
0.901,22.82,41.02,1005.99,0.8293,-0.0300,-0.6960,-5.0458,0.3053,1.6947
1.001,22.84,40.99,1005.99,0.8413,-0.0637,-0.6841,-3.1298,1.7099,0.5344
1.101,22.85,40.94,1005.98,0.8315,-0.0468,-0.6875,-1.9008,1.0458,-0.8244
1.201,22.85,40.90,1006.00,0.8401,-0.0444,-0.6826,-1.9160,1.0534,-0.6947
1.301,22.85,40.83,1005.98,0.8320,-0.0461,-0.6919,-1.9237,1.1069,-0.6870
1.401,22.86,40.78,1006.00,0.8354,-0.0437,-0.6841,-1.8397,1.3282,-0.6260
1.501,22.86,40.71,1006.00,0.8362,-0.0385,-0.6885,-2.0534,1.1450,-0.7939
1.601,22.87,40.64,1006.02,0.8330,-0.0456,-0.6899,-1.7176,0.9771,-0.7328
1.701,22.87,40.57,1006.01,0.8406,-0.0400,-0.6792,-1.9084,1.0076,-0.6947
1.801,22.87,40.51,1006.00,0.8350,-0.0415,-0.6802,-1.7634,1.1679,-0.7405
1.901,22.88,40.45,1006.00,0.8367,-0.0397,-0.6875,-1.8779,1.0763,-0.7939
2.001,22.88,40.37,1005.99,0.8374,-0.0468,-0.6824,-2.0611,1.2748,-0.9008
2.101,22.89,40.32,1006.00,0.8342,-0.0405,-0.6816,-1.7328,0.9695,-0.6107
2.201,22.89,40.26,1006.01,0.8337,-0.0427,-0.6772,-1.7634,1.0916,-0.5573
2.301,22.90,40.21,1006.02,0.8328,-0.0441,-0.6858,-1.8397,0.8779,-0.7252
2.401,22.90,40.13,1005.99,0.8315,-0.0424,-0.6792,-1.8092,1.0076,-0.8092
2.501,22.90,40.07,1006.00,0.8406,-0.0402,-0.6780,-1.9847,0.6870,-0.6641
2.601,22.90,40.01,1006.00,0.8315,-0.0402,-0.6917,-1.6718,1.0687,-0.7710
2.701,22.91,39.95,1005.97,0.8389,-0.0405,-0.6790,-1.7328,1.0382,-0.7557
2.801,22.91,39.89,1005.98,0.8340,-0.0483,-0.6833,-1.8702,1.0305,-0.5954
2.901,22.92,39.86,1006.00,0.8369,-0.0412,-0.6899,-1.8626,0.9389,-0.8931
3.001,22.92,39.77,1006.00,0.8340,-0.0446,-0.6875,-1.7863,1.0916,-0.7863
3.101,22.92,39.66,1006.01,0.8350,-0.0466,-0.6826,-1.7099,1.1679,-0.7023
3.201,22.93,39.54,1006.03,0.8308,-0.0424,-0.6772,-1.6641,1.2061,-0.6870
3.301,22.92,39.46,1005.99,0.8337,-0.0395,-0.6790,-1.9695,1.2366,-0.6641
3.401,22.93,39.37,1005.99,0.8374,-0.0419,-0.6880,-2.0000,1.0076,-0.6565
3.501,22.93,39.30,1006.01,0.8289,-0.0493,-0.6770,-1.9466,0.9008,-0.6794
