Time_s,Temperature_C,Humidity_%,Pressure_hPa,Lat,Lng,Alt_m,Fix,Sats,AccelX_g,AccelY_g,AccelZ_g,GyroX_deg_s,GyroY_deg_s,GyroZ_deg_s,TotalAccel
3.591,28.77,41.36,999.98,0.000000,0.000000,0.00,0,0,0.9795,-0.1628,-0.2981,2.5725,2.4962,3.0382,1.037
3.613,28.77,41.36,999.98,0.000000,0.000000,0.00,0,0,0.9495,-0.1965,-0.2383,3.3282,0.9847,0.7786,0.998
3.724,28.77,41.36,999.98,0.000000,0.000000,0.00,0,0,1.0190,-0.1301,-0.3132,-0.6336,0.7099,-1.0305,1.074
3.874,28.76,41.36,999.94,0.000000,0.000000,0.00,0,0,0.9929,-0.1387,-0.3052,1.9313,2.2977,1.6107,1.048
3.895,28.76,41.36,999.94,0.000000,0.000000,0.00,0,0,0.9998,-0.1440,-0.3025,1.8855,2.5420,1.0076,1.054
3.932,28.77,41.37,999.96,0.000000,0.000000,0.00,0,0,1.0005,-0.1338,-0.3037,1.1756,2.4656,0.4809,1.054
4.030,28.77,41.35,999.96,0.000000,0.000000,0.00,0,0,0.9973,-0.1353,-0.2891,1.6260,1.4046,0.5573,1.047
4.067,28.77,41.35,999.96,0.000000,0.000000,0.00,0,0,0.9949,-0.1409,-0.2935,1.5420,0.9924,0.4809,1.047
4.182,28.77,41.35,999.93,0.000000,0.000000,0.00,0,0,0.9941,-0.1440,-0.2959,1.3511,1.8855,0.1374,1.047
4.236,28.77,41.35,999.96,0.000000,0.000000,0.00,0,0,0.9971,-0.1409,-0.2905,2.1221,1.8015,0.3130,1.048
4.380,28.77,41.34,999.97,0.000000,0.000000,0.00,0,0,0.9961,-0.1411,-0.2969,1.2061,0.6489,-0.1298,1.049
4.454,28.77,41.34,1000.00,0.000000,0.000000,0.00,0,0,0.9973,-0.1404,-0.3022,1.4351,1.6947,0.8702,1.052
4.495,28.77,41.34,1000.00,0.000000,0.000000,0.00,0,0,0.9973,-0.1389,-0.2886,1.7863,1.4580,0.6336,1.047
4.568,28.78,41.34,999.99,0.000000,0.000000,0.00,0,0,0.9949,-0.1423,-0.2922,1.0076,1.7634,-0.0916,1.047
4.678,28.77,41.33,999.98,0.000000,0.000000,0.00,0,0,0.9905,-0.1360,-0.3235,2.4580,1.5191,-0.1450,1.051
4.753,28.78,41.35,999.98,0.000000,0.000000,0.00,0,0,0.9980,-0.1157,-0.3108,2.1679,2.1298,1.2366,1.052
4.759,28.78,41.35,999.98,0.000000,0.000000,0.00,0,0,1.0291,-0.1643,-0.2739,0.6565,1.9008,0.3588,1.077
4.765,-140.91,41.35,999.98,0.000000,0.000000,0.00,0,0,1.0095,-0.1038,-0.3647,0.6107,1.9618,-1.6947,1.078
4.772,28.78,41.35,999.98,0.000000,0.000000,0.00,0,0,0.9614,-0.1279,-0.2754,3.3893,0.9542,1.4504,1.008
4.778,28.78,41.35,999.98,0.000000,0.000000,0.00,0,0,1.0120,-0.1541,-0.2361,1.5878,2.0992,1.5878,1.050
4.891,28.78,41.33,999.98,0.000000,0.000000,0.00,0,0,0.9297,-0.2861,-0.3091,1.7252,4.8931,-2.9160,1.021
